"ID","EXPT","LOCATION","YEAR","PLOT","ROW","COLUMN","CHECKS","ENTRY","TREATMENT"
"29",29,"20WRC","1","2023",2009,2,12,0,230,"Gen-230"
"30",30,"20WRC","1","2023",2010,2,11,0,210,"Gen-210"
"31",31,"20WRA","1","2023",11,3,1,0,28,"Gen-28"
"32",32,"20WRA","1","2023",12,3,2,0,47,"Gen-47"
"33",33,"20WRA","1","2023",13,3,3,4,4,"Check-4"
"34",34,"20WRA","1","2023",14,3,4,0,53,"Gen-53"
"35",35,"20WRA","1","2023",15,3,5,0,51,"Gen-51"
"36",36,"20WRB","1","2023",1011,3,6,0,143,"Gen-143"
"37",37,"20WRB","1","2023",1012,3,7,0,123,"Gen-123"
"38",38,"20WRB","1","2023",1013,3,8,0,120,"Gen-120"
"39",39,"20WRB","1","2023",1014,3,9,0,129,"Gen-129"
"40",40,"20WRB","1","2023",1015,3,10,0,108,"Gen-108"
"41",41,"20WRC","1","2023",2011,3,11,0,244,"Gen-244"
"42",42,"20WRC","1","2023",2012,3,12,0,207,"Gen-207"
"43",43,"20WRC","1","2023",2013,3,13,4,4,"Check-4"
"44",44,"20WRC","1","2023",2014,3,14,0,271,"Gen-271"
"45",45,"20WRC","1","2023",2015,3,15,0,195,"Gen-195"
"46",46,"20WRA","1","2023",16,4,5,0,84,"Gen-84"
"47",47,"20WRA","1","2023",17,4,4,0,38,"Gen-38"
"48",48,"20WRA","1","2023",18,4,3,0,73,"Gen-73"
"49",49,"20WRA","1","2023",19,4,2,0,15,"Gen-15"
"50",50,"20WRA","1","2023",20,4,1,0,59,"Gen-59"
"51",51,"20WRB","1","2023",1016,4,10,1,1,"Check-1"
"52",52,"20WRB","1","2023",1017,4,9,0,164,"Gen-164"
"53",53,"20WRB","1","2023",1018,4,8,0,170,"Gen-170"
"54",54,"20WRB","1","2023",1019,4,7,0,113,"Gen-113"
"55",55,"20WRB","1","2023",1020,4,6,0,179,"Gen-179"
"56",56,"20WRC","1","2023",2016,4,15,0,274,"Gen-274"
"57",57,"20WRC","1","2023",2017,4,14,0,236,"Gen-236"
"58",58,"20WRC","1","2023",2018,4,13,0,235,"Gen-235"
"59",59,"20WRC","1","2023",2019,4,12,0,189,"Gen-189"
"60",60,"20WRC","1","2023",2020,4,11,0,232,"Gen-232"
"61",61,"20WRA","1","2023",21,5,1,0,94,"Gen-94"
"62",62,"20WRA","1","2023",22,5,2,0,18,"Gen-18"
"63",63,"20WRA","1","2023",23,5,3,0,60,"Gen-60"
"64",64,"20WRA","1","2023",24,5,4,0,34,"Gen-34"
"65",65,"20WRA","1","2023",25,5,5,0,40,"Gen-40"
"66",66,"20WRB","1","2023",1021,5,6,0,141,"Gen-141"
"67",67,"20WRB","1","2023",1022,5,7,3,3,"Check-3"
"68",68,"20WRB","1","2023",1023,5,8,0,119,"Gen-119"
"69",69,"20WRB","1","2023",1024,5,9,0,126,"Gen-126"
"70",70,"20WRB","1","2023",1025,5,10,0,184,"Gen-184"
"71",71,"20WRC","1","2023",2021,5,11,0,231,"Gen-231"
"72",72,"20WRC","1","2023",2022,5,12,0,224,"Gen-224"
"73",73,"20WRC","1","2023",2023,5,13,0,241,"Gen-241"
"74",74,"20WRC","1","2023",2024,5,14,0,273,"Gen-273"
"75",75,"20WRC","1","2023",2025,5,15,0,239,"Gen-239"
"76",76,"20WRA","1","2023",26,6,5,0,77,"Gen-77"
"77",77,"20WRA","1","2023",27,6,4,2,2,"Check-2"
"78",78,"20WRA","1","2023",28,6,3,0,35,"Gen-35"
"79",79,"20WRA","1","2023",29,6,2,0,27,"Gen-27"
"80",80,"20WRA","1","2023",30,6,1,0,55,"Gen-55"
"81",81,"20WRB","1","2023",1026,6,10,0,169,"Gen-169"
"82",82,"20WRB","1","2023",1027,6,9,0,127,"Gen-127"
"83",83,"20WRB","1","2023",1028,6,8,0,131,"Gen-131"
"84",84,"20WRB","1","2023",1029,6,7,0,166,"Gen-166"
"85",85,"20WRB","1","2023",1030,6,6,0,155,"Gen-155"
"86",86,"20WRC","1","2023",2026,6,15,0,187,"Gen-187"
"87",87,"20WRC","1","2023",2027,6,14,1,1,"Check-1"
"88",88,"20WRC","1","2023",2028,6,13,0,256,"Gen-256"
"89",89,"20WRC","1","2023",2029,6,12,0,212,"Gen-212"
"90",90,"20WRC","1","2023",2030,6,11,0,209,"Gen-209"
"91",91,"20WRA","1","2023",31,7,1,4,4,"Check-4"
"92",92,"20WRA","1","2023",32,7,2,0,66,"Gen-66"
"93",93,"20WRA","1","2023",33,7,3,0,37,"Gen-37"
"94",94,"20WRA","1","2023",34,7,4,0,68,"Gen-68"
"95",95,"20WRA","1","2023",35,7,5,0,46,"Gen-46"
"96",96,"20WRB","1","2023",1031,7,6,0,178,"Gen-178"
"97",97,"20WRB","1","2023",1032,7,7,0,142,"Gen-142"
"98",98,"20WRB","1","2023",1033,7,8,0,132,"Gen-132"
"99",99,"20WRB","1","2023",1034,7,9,0,96,"Gen-96"
"100",100,"20WRB","1","2023",1035,7,10,0,115,"Gen-115"
"101",101,"20WRC","1","2023",2031,7,11,1,1,"Check-1"
"102",102,"20WRC","1","2023",2032,7,12,0,198,"Gen-198"
"103",103,"20WRC","1","2023",2033,7,13,0,258,"Gen-258"
"104",104,"20WRC","1","2023",2034,7,14,0,247,"Gen-247"
"105",105,"20WRC","1","2023",2035,7,15,0,250,"Gen-250"
"106",106,"20WRA","1","2023",36,8,5,0,39,"Gen-39"
"107",107,"20WRA","1","2023",37,8,4,0,48,"Gen-48"
"108",108,"20WRA","1","2023",38,8,3,0,41,"Gen-41"
"109",109,"20WRA","1","2023",39,8,2,0,26,"Gen-26"
"110",110,"20WRA","1","2023",40,8,1,0,32,"Gen-32"
"111",111,"20WRB","1","2023",1036,8,10,0,95,"Gen-95"
"112",112,"20WRB","1","2023",1037,8,9,0,165,"Gen-165"
"113",113,"20WRB","1","2023",1038,8,8,4,4,"Check-4"
"114",114,"20WRB","1","2023",1039,8,7,0,183,"Gen-183"
"115",115,"20WRB","1","2023",1040,8,6,0,152,"Gen-152"
"116",116,"20WRC","1","2023",2036,8,15,0,197,"Gen-197"
"117",117,"20WRC","1","2023",2037,8,14,0,218,"Gen-218"
"118",118,"20WRC","1","2023",2038,8,13,0,240,"Gen-240"
"119",119,"20WRC","1","2023",2039,8,12,0,220,"Gen-220"
"120",120,"20WRC","1","2023",2040,8,11,0,233,"Gen-233"
"121",121,"20WRA","1","2023",41,9,1,0,80,"Gen-80"
"122",122,"20WRA","1","2023",42,9,2,0,65,"Gen-65"
"123",123,"20WRA","1","2023",43,9,3,0,58,"Gen-58"
"124",124,"20WRA","1","2023",44,9,4,0,52,"Gen-52"
"125",125,"20WRA","1","2023",45,9,5,1,1,"Check-1"
"126",126,"20WRB","1","2023",1041,9,6,0,118,"Gen-118"
"127",127,"20WRB","1","2023",1042,9,7,0,135,"Gen-135"
"128",128,"20WRB","1","2023",1043,9,8,0,125,"Gen-125"
"129",129,"20WRB","1","2023",1044,9,9,0,122,"Gen-122"
"130",130,"20WRB","1","2023",1045,9,10,0,147,"Gen-147"
"131",131,"20WRC","1","2023",2041,9,11,0,192,"Gen-192"
"132",132,"20WRC","1","2023",2042,9,12,0,264,"Gen-264"
"133",133,"20WRC","1","2023",2043,9,13,0,234,"Gen-234"
"134",134,"20WRC","1","2023",2044,9,14,0,268,"Gen-268"
"135",135,"20WRC","1","2023",2045,9,15,3,3,"Check-3"
"136",136,"20WRA","1","2023",46,10,5,0,61,"Gen-61"
"137",137,"20WRA","1","2023",47,10,4,0,24,"Gen-24"
"138",138,"20WRA","1","2023",48,10,3,0,11,"Gen-11"
"139",139,"20WRA","1","2023",49,10,2,4,4,"Check-4"
"140",140,"20WRA","1","2023",50,10,1,0,63,"Gen-63"
"141",141,"20WRB","1","2023",1046,10,10,0,130,"Gen-130"
"142",142,"20WRB","1","2023",1047,10,9,0,153,"Gen-153"
"143",143,"20WRB","1","2023",1048,10,8,0,167,"Gen-167"
"144",144,"20WRB","1","2023",1049,10,7,0,182,"Gen-182"
"145",145,"20WRB","1","2023",1050,10,6,0,139,"Gen-139"
"146",146,"20WRC","1","2023",2046,10,15,0,215,"Gen-215"
"147",147,"20WRC","1","2023",2047,10,14,0,205,"Gen-205"
"148",148,"20WRC","1","2023",2048,10,13,0,216,"Gen-216"
"149",149,"20WRC","1","2023",2049,10,12,3,3,"Check-3"
"150",150,"20WRC","1","2023",2050,10,11,0,208,"Gen-208"
"151",151,"20WRA","1","2023",51,11,1,0,23,"Gen-23"
"152",152,"20WRA","1","2023",52,11,2,0,7,"Gen-7"
"153",153,"20WRA","1","2023",53,11,3,0,50,"Gen-50"
"154",154,"20WRA","1","2023",54,11,4,0,25,"Gen-25"
"155",155,"20WRA","1","2023",55,11,5,0,76,"Gen-76"
"156",156,"20WRB","1","2023",1051,11,6,0,137,"Gen-137"
"157",157,"20WRB","1","2023",1052,11,7,0,163,"Gen-163"
"158",158,"20WRB","1","2023",1053,11,8,0,168,"Gen-168"
"159",159,"20WRB","1","2023",1054,11,9,2,2,"Check-2"
"160",160,"20WRB","1","2023",1055,11,10,0,159,"Gen-159"
"161",161,"20WRC","1","2023",2051,11,11,0,242,"Gen-242"
"162",162,"20WRC","1","2023",2052,11,12,0,260,"Gen-260"
"163",163,"20WRC","1","2023",2053,11,13,0,206,"Gen-206"
"164",164,"20WRC","1","2023",2054,11,14,0,202,"Gen-202"
"165",165,"20WRC","1","2023",2055,11,15,0,270,"Gen-270"
"166",166,"20WRA","1","2023",56,12,5,0,8,"Gen-8"
"167",167,"20WRA","1","2023",57,12,4,0,89,"Gen-89"
"168",168,"20WRA","1","2023",58,12,3,0,74,"Gen-74"
"169",169,"20WRA","1","2023",59,12,2,0,31,"Gen-31"
"170",170,"20WRA","1","2023",60,12,1,0,54,"Gen-54"
"171",171,"20WRB","1","2023",1056,12,10,0,114,"Gen-114"
"172",172,"20WRB","1","2023",1057,12,9,0,99,"Gen-99"
"173",173,"20WRB","1","2023",1058,12,8,0,145,"Gen-145"
"174",174,"20WRB","1","2023",1059,12,7,0,181,"Gen-181"
"175",175,"20WRB","1","2023",1060,12,6,3,3,"Check-3"
"176",176,"20WRC","1","2023",2056,12,15,0,203,"Gen-203"
"177",177,"20WRC","1","2023",2057,12,14,0,201,"Gen-201"
"178",178,"20WRC","1","2023",2058,12,13,0,267,"Gen-267"
"179",179,"20WRC","1","2023",2059,12,12,0,223,"Gen-223"
"180",180,"20WRC","1","2023",2060,12,11,0,254,"Gen-254"
"181",181,"20WRA","1","2023",61,13,1,0,33,"Gen-33"
"182",182,"20WRA","1","2023",62,13,2,0,92,"Gen-92"
"183",183,"20WRA","1","2023",63,13,3,3,3,"Check-3"
"184",184,"20WRA","1","2023",64,13,4,0,6,"Gen-6"
"185",185,"20WRA","1","2023",65,13,5,0,5,"Gen-5"
"186",186,"20WRB","1","2023",1061,13,6,0,116,"Gen-116"
"187",187,"20WRB","1","2023",1062,13,7,0,160,"Gen-160"
"188",188,"20WRB","1","2023",1063,13,8,0,101,"Gen-101"
"189",189,"20WRB","1","2023",1064,13,9,0,117,"Gen-117"
"190",190,"20WRB","1","2023",1065,13,10,0,98,"Gen-98"
"191",191,"20WRC","1","2023",2061,13,11,0,227,"Gen-227"
"192",192,"20WRC","1","2023",2062,13,12,0,263,"Gen-263"
"193",193,"20WRC","1","2023",2063,13,13,2,2,"Check-2"
"194",194,"20WRC","1","2023",2064,13,14,0,272,"Gen-272"
"195",195,"20WRC","1","2023",2065,13,15,0,255,"Gen-255"
"196",196,"20WRA","1","2023",66,14,5,0,93,"Gen-93"
"197",197,"20WRA","1","2023",67,14,4,0,83,"Gen-83"
"198",198,"20WRA","1","2023",68,14,3,0,14,"Gen-14"
"199",199,"20WRA","1","2023",69,14,2,0,67,"Gen-67"
"200",200,"20WRA","1","2023",70,14,1,0,86,"Gen-86"
"201",201,"20WRB","1","2023",1066,14,10,4,4,"Check-4"
"202",202,"20WRB","1","2023",1067,14,9,0,140,"Gen-140"
"203",203,"20WRB","1","2023",1068,14,8,0,100,"Gen-100"
"204",204,"20WRB","1","2023",1069,14,7,0,161,"Gen-161"
"205",205,"20WRB","1","2023",1070,14,6,0,134,"Gen-134"
"206",206,"20WRC","1","2023",2066,14,15,0,266,"Gen-266"
"207",207,"20WRC","1","2023",2067,14,14,0,188,"Gen-188"
"208",208,"20WRC","1","2023",2068,14,13,0,251,"Gen-251"
"209",209,"20WRC","1","2023",2069,14,12,0,217,"Gen-217"
"210",210,"20WRC","1","2023",2070,14,11,0,211,"Gen-211"
"211",211,"20WRA","1","2023",71,15,1,0,85,"Gen-85"
"212",212,"20WRA","1","2023",72,15,2,0,45,"Gen-45"
"213",213,"20WRA","1","2023",73,15,3,0,91,"Gen-91"
"214",214,"20WRA","1","2023",74,15,4,0,19,"Gen-19"
"215",215,"20WRA","1","2023",75,15,5,0,13,"Gen-13"
"216",216,"20WRB","1","2023",1071,15,6,0,97,"Gen-97"
"217",217,"20WRB","1","2023",1072,15,7,2,2,"Check-2"
"218",218,"20WRB","1","2023",1073,15,8,0,171,"Gen-171"
"219",219,"20WRB","1","2023",1074,15,9,0,154,"Gen-154"
"220",220,"20WRB","1","2023",1075,15,10,0,105,"Gen-105"
"221",221,"20WRC","1","2023",2071,15,11,0,252,"Gen-252"
"222",222,"20WRC","1","2023",2072,15,12,0,204,"Gen-204"
"223",223,"20WRC","1","2023",2073,15,13,0,245,"Gen-245"
"224",224,"20WRC","1","2023",2074,15,14,0,214,"Gen-214"
"225",225,"20WRC","1","2023",2075,15,15,0,257,"Gen-257"
"226",226,"20WRA","1","2023",76,16,5,0,30,"Gen-30"
"227",227,"20WRA","1","2023",77,16,4,1,1,"Check-1"
"228",228,"20WRA","1","2023",78,16,3,0,36,"Gen-36"
"229",229,"20WRA","1","2023",79,16,2,0,88,"Gen-88"
"230",230,"20WRA","1","2023",80,16,1,0,75,"Gen-75"
"231",231,"20WRB","1","2023",1076,16,10,0,158,"Gen-158"
"232",232,"20WRB","1","2023",1077,16,9,0,180,"Gen-180"
"233",233,"20WRB","1","2023",1078,16,8,0,175,"Gen-175"
"234",234,"20WRB","1","2023",1079,16,7,0,133,"Gen-133"
"235",235,"20WRB","1","2023",1080,16,6,0,110,"Gen-110"
"236",236,"20WRC","1","2023",2076,16,15,0,190,"Gen-190"
"237",237,"20WRC","1","2023",2077,16,14,2,2,"Check-2"
"238",238,"20WRC","1","2023",2078,16,13,0,186,"Gen-186"
"239",239,"20WRC","1","2023",2079,16,12,0,253,"Gen-253"
"240",240,"20WRC","1","2023",2080,16,11,0,193,"Gen-193"
"241",241,"20WRA","1","2023",81,17,1,2,2,"Check-2"
"242",242,"20WRA","1","2023",82,17,2,0,43,"Gen-43"
"243",243,"20WRA","1","2023",83,17,3,0,90,"Gen-90"
"244",244,"20WRA","1","2023",84,17,4,0,16,"Gen-16"
"245",245,"20WRA","1","2023",85,17,5,0,71,"Gen-71"
"246",246,"20WRB","1","2023",1081,17,6,0,162,"Gen-162"
"247",247,"20WRB","1","2023",1082,17,7,0,176,"Gen-176"
"248",248,"20WRB","1","2023",1083,17,8,0,136,"Gen-136"
"249",249,"20WRB","1","2023",1084,17,9,0,104,"Gen-104"
"250",250,"20WRB","1","2023",1085,17,10,0,138,"Gen-138"
"251",251,"20WRC","1","2023",2081,17,11,4,4,"Check-4"
"252",252,"20WRC","1","2023",2082,17,12,0,191,"Gen-191"
"253",253,"20WRC","1","2023",2083,17,13,0,185,"Gen-185"
"254",254,"20WRC","1","2023",2084,17,14,0,269,"Gen-269"
"255",255,"20WRC","1","2023",2085,17,15,0,265,"Gen-265"
"256",256,"20WRA","1","2023",86,18,5,0,12,"Gen-12"
"257",257,"20WRA","1","2023",87,18,4,0,29,"Gen-29"
"258",258,"20WRA","1","2023",88,18,3,0,9,"Gen-9"
"259",259,"20WRA","1","2023",89,18,2,0,10,"Gen-10"
"260",260,"20WRA","1","2023",90,18,1,0,44,"Gen-44"
"261",261,"20WRB","1","2023",1086,18,10,0,149,"Gen-149"
"262",262,"20WRB","1","2023",1087,18,9,0,106,"Gen-106"
"263",263,"20WRB","1","2023",1088,18,8,3,3,"Check-3"
"264",264,"20WRB","1","2023",1089,18,7,0,177,"Gen-177"
"265",265,"20WRB","1","2023",1090,18,6,0,109,"Gen-109"
"266",266,"20WRC","1","2023",2086,18,15,0,196,"Gen-196"
"267",267,"20WRC","1","2023",2087,18,14,0,246,"Gen-246"
"268",268,"20WRC","1","2023",2088,18,13,0,226,"Gen-226"
"269",269,"20WRC","1","2023",2089,18,12,0,225,"Gen-225"
"270",270,"20WRC","1","2023",2090,18,11,0,262,"Gen-262"
"271",271,"20WRA","1","2023",91,19,1,0,49,"Gen-49"
"272",272,"20WRA","1","2023",92,19,2,0,42,"Gen-42"
"273",273,"20WRA","1","2023",93,19,3,0,69,"Gen-69"
"274",274,"20WRA","1","2023",94,19,4,0,21,"Gen-21"
"275",275,"20WRA","1","2023",95,19,5,3,3,"Check-3"
"276",276,"20WRB","1","2023",1091,19,6,0,103,"Gen-103"
"277",277,"20WRB","1","2023",1092,19,7,0,111,"Gen-111"
"278",278,"20WRB","1","2023",1093,19,8,0,151,"Gen-151"
"279",279,"20WRB","1","2023",1094,19,9,0,102,"Gen-102"
"280",280,"20WRB","1","2023",1095,19,10,0,157,"Gen-157"
"281",281,"20WRC","1","2023",2091,19,11,0,237,"Gen-237"
"282",282,"20WRC","1","2023",2092,19,12,0,249,"Gen-249"
"283",283,"20WRC","1","2023",2093,19,13,0,221,"Gen-221"
"284",284,"20WRC","1","2023",2094,19,14,0,248,"Gen-248"
"285",285,"20WRC","1","2023",2095,19,15,3,3,"Check-3"
"286",286,"20WRA","1","2023",96,20,5,0,70,"Gen-70"
"287",287,"20WRA","1","2023",97,20,4,0,57,"Gen-57"
"288",288,"20WRA","1","2023",98,20,3,0,56,"Gen-56"
"289",289,"20WRA","1","2023",99,20,2,1,1,"Check-1"
"290",290,"20WRA","1","2023",100,20,1,0,82,"Gen-82"
"291",291,"20WRB","1","2023",1096,20,10,0,173,"Gen-173"
"292",292,"20WRB","1","2023",1097,20,9,0,146,"Gen-146"
"293",293,"20WRB","1","2023",1098,20,8,0,148,"Gen-148"
"294",294,"20WRB","1","2023",1099,20,7,0,172,"Gen-172"
"295",295,"20WRB","1","2023",1100,20,6,0,144,"Gen-144"
"296",296,"20WRC","1","2023",2096,20,15,0,259,"Gen-259"
"297",297,"20WRC","1","2023",2097,20,14,0,243,"Gen-243"
"298",298,"20WRC","1","2023",2098,20,13,0,229,"Gen-229"
"299",299,"20WRC","1","2023",2099,20,12,4,4,"Check-4"
"300",300,"20WRC","1","2023",2100,20,11,0,219,"Gen-219"
